name,latitude,longitude,population
Biberach an der Riß,48.09345,9.79053,32333
Marienfelde,52.41868,13.36723,32270
Crailsheim,49.13444,10.07193,32262
Meschede,51.3502,8.28332,32224
Rheinberg,51.54649,6.59525,32188
Werl,51.55493,7.91403,32149
Bernburg,51.79464,11.7401,32113
Neugraben-Fischbek,53.46579,9.84344,32054
Eisenhüttenstadt,52.15,14.65,32052
Niederschönhausen,52.58483,13.40272,32037
Wedel,53.58374,9.69835,31995
Neuruppin,52.92815,12.80311,31901
Ansbach,49.30481,10.5931,31839
Kreuztal,50.96775,7.98848,31772
Lampertheim,49.59786,8.4725,31635
Idar-Oberstein,49.71443,7.30776,31610
Osterholz-Scharmbeck,53.22698,8.79528,31405
Bramsche,52.40881,7.97288,31394
Lohmar,50.83868,7.21399,31339
Herrenberg,48.59523,8.86648,31338
Hakenfelde,52.55877,13.20831,31327
Güstrow,53.7972,12.17337,31217
Cloppenburg,52.84754,8.045,31177
Ganderkesee,53.03333,8.53333,31141
Merzig,49.44331,6.63874,31118
Deggendorf,48.84085,12.96068,31081
Kornwestheim,48.86158,9.18569,31040
Burgdorf,52.44628,10.0064,30899
Northeim,51.70662,9.99997,30894
Emmerich,51.83933,6.24792,30869
Werne,51.66446,7.63421,30810
Bad Vilbel,50.17866,8.73756,30736
Bad Hersfeld,50.87197,9.70891,30725
Forchheim,49.71754,11.05877,30442
Oer-Erkenschwick,51.64198,7.26451,30409
Schönebeck,52.01682,11.7307,30387
Tönisvorst,51.32092,6.49412,30296
Bad Nauheim,50.36463,8.73859,30291
Schwelm,51.28635,7.29388,30235
Waltrop,51.62125,7.40238,30220
Schwedt (Oder),53.05963,14.28154,30189
Ahrensburg,53.67515,10.22593,30103
Schnelsen,53.63743,9.91969,30100
Radolfzell,47.74194,8.97098,30096
Achim,53.01416,9.0263,30013
Wittenberg,51.8661,12.64973,30000
Friedberg,48.35693,10.98461,29916
Delbrück,51.76503,8.56223,29884
Springe,52.20845,9.55416,29828
Weißenfels,51.20148,11.96843,29792
Mahlsdorf,52.50935,13.61373,29757
Vechta,52.72632,8.28598,29729
Naumburg,51.14987,11.80979,29722
Wegberg,51.14221,6.28436,29622
Andernach,50.43109,7.40425,29599
Altglienicke,52.41116,13.5355,29595
Weil am Rhein,47.59331,7.62082,29548
Taunusstein,50.14993,8.15206,29501
Gaggenau,48.8,8.33333,29496
Geesthacht,53.43575,10.3779,29487
Zeitz,51.04962,12.1369,29469
Altona-Altstadt,53.55018,9.94653,29455
Haan,51.19382,7.0133,29431
Oelde,51.8289,8.14724,29297
Bühl,48.69676,8.13523,29193
Kelkheim,50.13703,8.4502,29162
Wetter,51.38747,7.39277,29146
Senftenberg,51.52517,14.00164,28988
Biesdorf,52.50906,13.5534,28955
Düsseldorf-Pempelfort,51.23812,6.78678,28941
Vaihingen an der Enz,48.93563,8.96045,28867
