,lat,lng
4116,48.4516167,14.06965
4120,48.4980923,13.9917308
4121,48.4947923,13.9708346
4122,48.5117588,13.9857765
4131,48.4728167,13.8956611
4132,48.4882222,13.8974667
4133,48.4709824,13.8752118
4134,48.4955429,13.8790571
4141,48.5169115,13.8118077
4142,48.505,13.7967286
4143,48.5145143,13.7556357
4144,48.548285,13.792145
4150,48.5765559,13.9345324
4151,48.5885909,13.9212864
4152,48.5661786,13.8983429
4153,48.5973208,13.9006667
4154,48.5883643,13.8484
4155,48.6348,13.8452
4160,48.6547278,13.9451556
4161,48.6798722,13.9168278
4162,48.6633417,13.870225
4163,48.700775,13.883375
4164,48.7197,13.82485
4170,48.5454077,14.0787282
4171,48.5153375,14.089625
4172,48.4865,14.12335
4173,48.474325,14.1476667
4174,48.4577,14.09538
4175,48.4405091,14.125
4180,48.4876182,14.2314636
4181,48.47525,14.2149125
4182,48.4776444,14.1896556
4183,48.5090091,14.2066
4184,48.5298107,14.1721321
4190,48.528463,14.2965593
4191,48.5503467,14.24674
4192,48.5212444,14.3378778
4193,48.5419333,14.3640667
4201,48.3955143,14.2202357
4202,48.413252,14.299528
4203,48.3839478,14.3284739
4204,48.4212043,14.3259783
4209,48.3724645,14.3429484
4210,48.38195,14.43159
4211,48.4051652,14.4246087
4212,48.423171,14.4642065
4221,48.29385,14.4134333
4222,48.2810222,14.4666111
4223,48.30256,14.47573
4224,48.3057483,14.4713414
4225,48.285525,14.4421625
4230,48.3624348,14.552113
4232,48.38125,14.51635
4240,48.5109333,14.4552556
4242,48.4944538,14.4172385
4251,48.5487588,14.6721059
4252,48.5284929,14.7869429
4261,48.5646417,14.4705
4262,48.6049636,14.4932818
4263,48.5790143,14.5571429
4264,48.5350111,14.5467667
4271,48.485575,14.651175
4272,48.4767684,14.7134368
4273,48.4577708,14.7469708
4274,48.4173389,14.7210944
4280,48.3738692,14.7728615
4281,48.3600333,14.7615111
4282,48.3573,14.7340313
4283,48.3578583,14.7003917
4284,48.3534533,14.6812067
4291,48.4534611,14.57365
4292,48.4369625,14.5503375
4293,48.4309526,14.6057474
4294,48.4444409,14.6462955
4300,48.1555667,14.5074
4303,48.18335,14.54445
4310,48.2631429,14.5357214
4311,48.2751533,14.55828
4312,48.2755048,14.5286286
4320,48.2625833,14.65615
4322,48.2718556,14.6751556
4323,48.2666231,14.6923231
4324,48.2776333,14.6817556
4331,48.2120615,14.6321308
4332,48.22514,14.6114
4341,48.2245429,14.7153
4342,48.2117947,14.7282105
4343,48.200905,14.71175
4351,48.2129,14.7927125
4352,48.2288267,14.7856267
4360,48.2646,14.8385071
4362,48.2770056,14.8233
4363,48.2946062,14.8292625
4364,48.2866,14.8131929
4371,48.3220222,14.9040222
4372,48.3604333,14.90625
